pentad,2015-2017_Apr_mean,2015-2017_Aug_mean,2015-2017_Dec_mean,2015-2017_Feb_mean,2015-2017_Jan_mean,2015-2017_July_mean,2015-2017_June_mean,2015-2017_Mar_mean,2015-2017_May_mean,2015-2017_Nov_mean,2015-2017_Oct_mean,2015-2017_Sep_mean,2015_Apr_mean,2015_Aug_mean,2015_Dec_mean,2015_Feb_mean,2015_Jan_mean,2015_July_mean,2015_June_mean,2015_Mar_mean,2015_May_mean,2015_Nov_mean,2015_Oct_mean,2015_Sep_mean,2016_Apr_mean,2016_Aug_mean,2016_Dec_mean,2016_Feb_mean,2016_Jan_mean,2016_July_mean,2016_June_mean,2016_Mar_mean,2016_May_mean,2016_Nov_mean,2016_Oct_mean,2016_Sep_mean,2017_Feb_mean,2017_Jan_mean,2017_Mar_mean,mean_all
3050_2455,0.2900801475647492,0.20539226522405116,0.16317189835533077,0.25641834099261207,0.20280764455465153,0.2192957996617869,0.23488968212882827,0.2837930619082852,0.2511982458920019,0.16470941185725885,0.17996370195215727,0.19338868747840307,0.29891657725061044,0.20148830576350873,0.15554205052174333,0.19703949762539963,0.19295119619549786,0.2215796007734278,0.23237537937714156,0.2856168643217569,0.24213354834593087,0.1619263529735274,0.17281546640880618,0.19191732698442354,0.2834528250397942,0.20929622495219477,0.1708017470691853,0.1816059709693849,0.17071536422085673,0.21701199787410086,0.23740398435235474,0.2500153050277319,0.2632845103782945,0.16842015698157772,0.18532487878924506,0.1948600479019612,0.3906095551858552,0.24475637243071216,0.34770096940585254,0.22234715380492867
3050_2500,0.29372567928524684,0.20833789707920278,0.16344188083322378,0.2616067433162876,0.20705275324882766,0.21956491007668535,0.2370610936335332,0.29196720804829,0.2507712030554426,0.16606884021558474,0.1839922369512358,0.19929279106720182,0.2806341689227885,0.20102568891159978,0.15528253976445794,0.20435236945100452,0.20567882221565353,0.21648300448274116,0.22456417546126928,0.2830171285158407,0.2298057150863294,0.16188876211136186,0.17637012265129667,0.19457432650212755,0.3035443119056847,0.2156501051623001,0.17160122229634928,0.1813863622683095,0.17080787443230191,0.22264681529035416,0.24955801185509208,0.2581256654796618,0.27872518550020087,0.17164227720666922,0.18970882288393318,0.20401125598438297,0.39908149863799264,0.24467156444357563,0.3775504557363027,0.2257556894297636
3050_2505,0.28031183601418214,0.2182167526282832,0.1779459338087268,0.2714880656978248,0.22758028838201103,0.22879660724352952,0.24844278550252774,0.2836572165488094,0.2505806793185652,0.1810475347648055,0.1997887317391042,0.21298102372835126,0.26687577793462536,0.2060332536338988,0.16972096061728598,0.22252262274111784,0.2424689968367289,0.2191870634363935,0.22863205316218924,0.2820420470174874,0.22731652059122767,0.17584361068415047,0.18842717860441976,0.20484096496249657,0.290388881395141,0.23040025118156013,0.18617090676582929,0.18095153513658277,0.1773572055817643,0.23840615122986544,0.2682535177946201,0.22931345963676586,0.2815995562604519,0.18798610091099135,0.20830989631097918,0.22112108296977492,0.4109900413041419,0.2629146627413245,0.3955750688565869,0.23429959487931581
3050_2510,0.2937644077130437,0.219138170213972,0.1808044833601197,0.27862705572707214,0.2247054745251267,0.22575945250112528,0.24582034305780281,0.30116735842423986,0.2530957514064524,0.18548398309286918,0.20443072494661652,0.21717346384980502,0.2863716250584797,0.20942713568842705,0.1721857476817525,0.22942148546894242,0.24623208694399418,0.2171454200193652,0.2295086050585673,0.29855598618464796,0.23988279045360525,0.17943714903438698,0.19235604435261797,0.20970025383259938,0.29930899440115477,0.22884920474655912,0.18942321965819495,0.18826438771078402,0.17862562906342103,0.2343734852997815,0.26213208152886147,0.2490812996455199,0.27071303489049353,0.19354642834690433,0.2134867365875181,0.2246466736627887,0.418195292762074,0.2492587085045691,0.4105622229396959,0.2384181896432361
3050_2515,0.2944014326357661,0.22240378970319022,0.18044903706090212,0.26310392718459347,0.22545253747408692,0.22757922863633512,0.24800762882727306,0.28374855153417544,0.2638302544283281,0.1815637231492816,0.19879214066328985,0.21536808334896604,0.2909289161077857,0.21649419574070516,0.1702763339846143,0.2149304032029975,0.23522930510609721,0.22279613135498727,0.23604769320253613,0.2664610288952722,0.254278329706316,0.17745683059124506,0.18805990568124503,0.2051535954941874,0.2970058214067286,0.22831338423608832,0.1906217394611448,0.1875000295910583,0.17862436773223778,0.23236232441770782,0.25996756514213937,0.2537630834248769,0.2765661526140396,0.18703958060458611,0.2068413175881923,0.22558257145021948,0.38688134916112643,0.26250393843605746,0.37829453289677833,0.23549743208660973
3050_2520,0.2942969301555247,0.21097889408868953,0.17783239747808555,0.2655910336094582,0.22216231308388115,0.21480750601314816,0.23785204531333715,0.2887183758089875,0.2613117937188144,0.17771472060961596,0.19724138129319888,0.21601899776687014,0.2800923005490806,0.2059588944134505,0.1687861079217437,0.20524159234420333,0.22712619566150996,0.21234121551318483,0.23007116931301924,0.24919036853710444,0.2554309290457279,0.1747090466713376,0.18889758642159823,0.20713189262879544,0.304950402930696,0.21599889313672893,0.18687868806827299,0.20004434170930283,0.1814155673795999,0.217273796775019,0.24563292120337818,0.27746934086001657,0.26915294599136086,0.1817222854379258,0.20349922782425303,0.22490610300832936,0.3914871638318546,0.257945176265672,0.3902724550263293,0.2324911414763643
3050_2525,0.2823426906575778,0.20831805910555987,0.17634530085894246,0.26901664953178855,0.23155062827360878,0.2154357309870436,0.23831343027588775,0.27900852716487384,0.25256971921243604,0.17679626721402872,0.1941349856513209,0.2107498885144696,0.2623971694330412,0.20236974508133637,0.16875059439295406,0.21850117925547471,0.24913433778657806,0.20956504705497583,0.22598343979151803,0.2419236581173984,0.24001513451112466,0.17353808007331561,0.1877727855792681,0.20013793566332874,0.2973018304527595,0.21426637398892404,0.1839400077192905,0.19212902355622255,0.1772790558720694,0.22130641517262828,0.25064342158418745,0.2571651910155279,0.26930916537521915,0.18114051704483355,0.19890663547473053,0.22136184210503485,0.3964197467343568,0.2682384907607771,0.39686493554446556,0.2306970343388096
3050_2530,0.2923767500721559,0.22034576469058798,0.18217916875581405,0.2751226100405535,0.23716366956842708,0.23105411981400464,0.2522886085989958,0.28590515127731186,0.2598888316259794,0.18212093015879421,0.19746672598495182,0.21328950403852664,0.2817742997344504,0.22111509714851105,0.17384450202402862,0.22968136476461365,0.2524049333421639,0.22789748471357776,0.23963201174876075,0.2546956319082787,0.24800877341316543,0.17978890572401465,0.196789365802839,0.21086819755270125,0.3003285879219273,0.21957643233604943,0.1905138354462457,0.21306680710805334,0.18622133410109293,0.23421075499024688,0.26494520592479986,0.27229685597569714,0.2757289075774247,0.18523029613616177,0.19797474541507531,0.21571081047610594,0.38261965840751655,0.2728647435295924,0.37554078585675865,0.23845800800829658
3050_2535,0.28345391361328065,0.2100057018346845,0.17950590066118818,0.26985045064712515,0.24300627921670956,0.22365664992136405,0.24037444910531008,0.2759965274673103,0.24618742443156377,0.17894869722383686,0.18925883491402087,0.20482547749502897,0.27389737884100307,0.21161683755160957,0.17729463784591012,0.23692708787823444,0.26688038909170486,0.21877110644555273,0.22742009705147356,0.2517590125378341,0.23730200840360952,0.17889986844955186,0.19312139145593338,0.20755611612181582,0.2906213121696433,0.20839456619522298,0.1817171627229576,0.19943066622308386,0.18479851982600295,0.22854219242536053,0.25332880124365226,0.25592147594842435,0.2580346470110696,0.17901380227030111,0.1863619167716832,0.20209483867810443,0.3731935977344252,0.2773399294718452,0.36462165892743886,0.2320209170404702
3050_2540,0.2752082131676277,0.21510473608491776,0.1852711039421013,0.2761001903880634,0.2547369190194206,0.22508175402090996,0.24380397856489022,0.2716483651380458,0.24794157843734005,0.18437925479700526,0.19366326930955588,0.2111835482201076,0.2736403474721544,0.21137704516431785,0.18208290228799745,0.25166525493159414,0.2916562119974193,0.2170965989210092,0.22829964827387003,0.26385142812628604,0.236453135313012,0.18279304419466363,0.19379004932559732,0.20858988170784903,0.2763841125853571,0.21883242685763282,0.18845930496241284,0.18907642313094356,0.1828756020923756,0.23306690902222083,0.25930830861647775,0.23018737745054052,0.2632595020186135,0.18649420293579705,0.19356818453519692,0.21377721451405993,0.3875588935241807,0.289678940764278,0.3701642111633924,0.23567094246809334
